104*K205905V02N49*25022025D004*A2C779610110000224B070022E*-986*2025.01.07 06:03:16*324*-986,FAIL,"writeData: Error WriteEcuDataFailed occurred writing data REG_X_SW_ID_NUMBERS Value: <                                                                                                    >"*177*0*025D*Default*6.16.0.77*ok,0.199200,0.05,0.5*ok,0.105576,0.05,0.5*Default*
103*K205905V02N49*25022025C190*A2C779610110000224B0700156*0*2025.01.07 11:56:06*472**254*0*025C*Z301963*6.16.0.77*ok,0.290127,0.05,0.5*ok,0.200397,0.05,0.5*ok,0.336986,0.05,0.5*
1*K205905V02N49*25022025B191*A2C779610110000224B070015A*0*2025.01.07 12:00:05*474**254*0*025B*Z301963*6.16.0.77*ok,0.191000,0.05,0.5*ok,0.099000,0.05,0.5*ok,0.238000,0.05,0.5*
104*K205905V02N49*25022025D192*A2C779610110000224B0700160*0*2025.01.07 12:01:31*475**253*0*025D*Z301963*6.16.0.77*ok,0.190236,0.05,0.5*ok,0.100596,0.05,0.5*ok,0.238044,0.05,0.5*
0*K205905V02N49*25022025A193*A2C779610110000224B0700161*0*2025.01.07 12:03:56*471**253*0*025A*Z301963*6.16.0.77*ok,0.196000,0.05,0.5*ok,0.103000,0.05,0.5*ok,0.241000,0.05,0.5*
103*K205905V02N49*25022025C194*A2C779610110000224B0700162*0*2025.01.07 12:04:56*474**254*0*025C*Z301963*6.16.0.77*ok,0.295112,0.05,0.5*ok,0.203388,0.05,0.5*ok,0.342968,0.05,0.5*
1*K205905V02N49*25022025B195*A2C779610110000224B0700157*0*2025.01.07 12:08:57*474**255*0*025B*Z301963*6.16.0.77*ok,0.191000,0.05,0.5*ok,0.099000,0.05,0.5*ok,0.240000,0.05,0.5*
104*K205905V02N49*25022025D196*A2C779610110000224B070015F*0*2025.01.07 12:10:25*474**254*0*025D*Z301963*6.16.0.77*ok,0.189240,0.05,0.5*ok,0.100596,0.05,0.5*ok,0.239040,0.05,0.5*
0*K205905V02N49*25022025A197*A2C779610110000224B070015B*0*2025.01.07 12:12:47*475**254*0*025A*Z301963*6.16.0.77*ok,0.206000,0.05,0.5*ok,0.103000,0.05,0.5*ok,0.240000,0.05,0.5*
103*K205905V02N49*25022025C198*A2C779610110000224B070015C*0*2025.01.07 12:13:56*477**254*0*025C*Z301963*6.16.0.77*ok,0.308073,0.05,0.5*ok,0.200397,0.05,0.5*ok,0.335989,0.05,0.5*
1*K205905V02N49*25022025B199*A2C779610110000224B070015D*0*2025.01.07 12:17:50*482**255*0*025B*Z301963*6.16.0.77*ok,0.191000,0.05,0.5*ok,0.101000,0.05,0.5*ok,0.240000,0.05,0.5*
104*K205905V02N49*25022025D202*A2C779610110000224B270006D*-986*2025.01.07 12:24:26*324*-986,FAIL,"writeData: Error WriteEcuDataFailed occurred writing data REG_X_SW_ID_NUMBERS Value: <                                                                                                    >"*178*0*025D*Default*6.16.0.77*ok,0.188244,0.05,0.5*ok,0.100596,0.05,0.5*Default*
0*K205905V02N49*25022025A200*A2C779610110000224B270006A*0*2025.01.07 12:23:04*475**254*0*025A*Z301963*6.16.0.77*ok,0.194000,0.05,0.5*ok,0.103000,0.05,0.5*ok,0.242000,0.05,0.5*
103*K205905V02N49*25022025C201*A2C779610110000224B270006B*0*2025.01.07 12:24:02*475**255*0*025C*Z301963*6.16.0.77*ok,0.293118,0.05,0.5*ok,0.201394,0.05,0.5*ok,0.338980,0.05,0.5*
1*K205905V02N49*25022025B207*A2C779610110000224B2700072*0*2025.01.07 12:26:57*475**254*0*025B*Z301963*6.16.0.77*ok,0.190000,0.05,0.5*ok,0.099000,0.05,0.5*ok,0.238000,0.05,0.5*
103*K205905V02N49*25022025C213*A2C779610110000224B2700070*-986*2025.01.07 12:33:04*323*-986,FAIL,"writeData: Error WriteEcuDataFailed occurred writing data REG_X_SW_ID_NUMBERS Value: <                                                                                                    >"*177*0*025C*Default*6.16.0.77*ok,0.286139,0.05,0.5*ok,0.199400,0.05,0.5*Default*
0*K205905V02N49*25022025A202*A2C779610110000224B270006D*0*2025.01.07 12:31:51*480**257*1*025A*Z301963*6.16.0.77*ok,0.185000,0.05,0.5*ok,0.102000,0.05,0.5*ok,0.238000,0.05,0.5*
104*K205905V02N49*25022025D214*A2C779610110000224B2700077*0*2025.01.07 12:33:42*475**254*0*025D*Z301963*6.16.0.77*ok,0.188244,0.05,0.5*ok,0.100596,0.05,0.5*ok,0.236052,0.05,0.5*
1*K205905V02N49*25022025B215*A2C779610110000224B2700076*0*2025.01.07 12:35:51*474**254*0*025B*Z301963*6.16.0.77*ok,0.195000,0.05,0.5*ok,0.098000,0.05,0.5*ok,0.237000,0.05,0.5*
0*K205905V02N49*25022025A213*A2C779610110000224B2700070*0*2025.01.07 12:40:44*479**257*1*025A*Z301963*6.16.0.77*ok,0.188000,0.05,0.5*ok,0.101000,0.05,0.5*ok,0.235000,0.05,0.5*
103*K205905V02N49*25022025C216*A2C779610110000224B2700074*0*2025.01.07 12:41:55*476**254*0*025C*Z301963*6.16.0.77*ok,0.291124,0.05,0.5*ok,0.201394,0.05,0.5*ok,0.339977,0.05,0.5*
104*K205905V02N49*25022025D217*A2C779610110000224B270006F*0*2025.01.07 12:42:50*475**255*0*025D*Z301963*6.16.0.77*ok,0.194220,0.05,0.5*ok,0.098604,0.05,0.5*ok,0.233064,0.05,0.5*
1*K205905V02N49*25022025B218*A2C779610110000224B270006E*0*2025.01.07 12:44:43*472**254*0*025B*Z301963*6.16.0.77*ok,0.190000,0.05,0.5*ok,0.099000,0.05,0.5*ok,0.237000,0.05,0.5*
0*K205905V02N49*25022025A219*A2C779610110000224B270006C*0*2025.01.07 12:49:41*474**254*0*025A*Z301963*6.16.0.77*ok,0.192000,0.05,0.5*ok,0.103000,0.05,0.5*ok,0.241000,0.05,0.5*
103*K205905V02N49*25022025C220*A2C779610110000224B2700069*0*2025.01.07 12:50:49*472**254*0*025C*Z301963*6.16.0.77*ok,0.293118,0.05,0.5*ok,0.201394,0.05,0.5*ok,0.340974,0.05,0.5*
104*K205905V02N49*25022025D221*A2C779610110000224B2700078*0*2025.01.07 12:51:46*475**253*0*025D*Z301963*6.16.0.77*ok,0.190236,0.05,0.5*ok,0.100596,0.05,0.5*ok,0.238044,0.05,0.5*
1*K205905V02N49*25022025B222*A2C779610110000224B2700075*0*2025.01.07 12:58:40*476**255*0*025B*Z301963*6.16.0.77*ok,0.202000,0.05,0.5*ok,0.099000,0.05,0.5*ok,0.239000,0.05,0.5*
103*K205905V02N49*25022025C223*A2C779610110000224B2700073*0*2025.01.07 13:33:53*477**256*0*025C*Z301963*6.16.0.77*ok,0.290127,0.05,0.5*ok,0.201394,0.05,0.5*ok,0.336986,0.05,0.5*
104*K205905V02N49*25022025D224*A2C779610110000224B2700071*0*2025.01.07 13:34:16*475**254*0*025D*Z301963*6.16.0.77*ok,0.192228,0.05,0.5*ok,0.101592,0.05,0.5*ok,0.240036,0.05,0.5*
0*K205905V02N49*25022025A225*A2C779610110000224B070021B*0*2025.01.07 13:37:13*473**253*0*025A*Z301963*6.16.0.77*ok,0.192000,0.05,0.5*ok,0.104000,0.05,0.5*ok,0.240000,0.05,0.5*
1*K205905V02N49*25022025B226*A2C779610110000224B070021A*0*2025.01.07 13:37:37*476**253*0*025B*Z301963*6.16.0.77*ok,0.190000,0.05,0.5*ok,0.101000,0.05,0.5*ok,0.239000,0.05,0.5*
103*K205905V02N49*25022025C238*A2C779610110000224B070021D*0*2025.01.07 13:42:52*473**255*0*025C*Z301963*6.16.0.77*ok,0.294115,0.05,0.5*ok,0.203388,0.05,0.5*ok,0.344962,0.05,0.5*
104*K205905V02N49*25022025D239*A2C779610110000224B070021E*0*2025.01.07 13:43:48*473**255*0*025D*Z301963*6.16.0.77*ok,0.194220,0.05,0.5*ok,0.103584,0.05,0.5*ok,0.243024,0.05,0.5*
